in:Index,out:WWR_Skylight,out:WWR_Skylight_Vertical_Shading_Divided,out:H_Skylight,out:W_Skylight,out:SH_Skylight,out:Distance_A_Skylight,out:Distance_B_Skylight,out:WWR_Corridor,out:H_Corridor,out:W_Corridor,out:SH_Corridor,out:Distance_A_Corridor,out:Distance_B_Corridor,out:Degree,out:Overhang_Angle,out:Overhang_Length,out:Overhang_Movement_Distance,out:Vertical_Shading_Number,out:Vertical_Shading_Width,out:Vertical_Shading_Length,out:W_Skylight_Vertical_Shading_Divided,out:Vertiacl_Shading_Top_Left_Movement_Distance,out:Vertiacl_Shading_Top_Right_Movement_Distance,out:Hypervolume,out:Rank,out:EUI,out:sDA,out:sGA,out:UDI,out:SVF,out:PMV
10,35,34,2.2,4.3,0.8,3.4,0.2,10,0.8,3.4,2,0.7,2.1,0,-40,1.4,0,5,0.02,0.9,1.05,0,0,0.549383,80.761,0.549383,1,77.463457,20.675604,1,-999
11,60,41,2.1,7.7,0.9,0,0.2,40,1.8,6,0.9,0,0.2,0,80,0.7,0.1,5,0.6,0.3,1.32,0.25,0.35,1,82.476,1,0.783951,59.336728,33.286942,6,-999
12,65,58,2.3,7.6,0.7,0.2,0.1,10,0.8,3.4,2,1.9,0.9,0,-80,0.8,0.1,9,0.1,0.8,0.85,0.05,0,0.987654,80.933,0.987654,0.92284,76.801574,22.88995,7,-999
13,70,63,2.5,7.6,0.5,0.2,0.1,35,1.6,5.9,1,0,0.3,0,10,1.8,0.8,9,0.1,0.4,0.85,0.05,0.05,1,81.996,1,0.941358,66.330679,18.265329,8,-999
14,55,50,2,7.4,0.8,0.3,0.2,30,1.9,4.3,0.9,0.2,1.7,0,-20,0.4,0.6,7,0.1,1,1.13,0.05,0.05,1,83.128,1,0.861111,69.609691,22.826016,5,-999
15,30,29,2,4,0.8,0,3.9,35,1.6,5.9,0.8,0.1,0.2,0,0,1.4,0.3,2,1.2,0.1,3.98,0,0,1,83.128,1,0.861111,69.431049,29.185517,0,-999
16,40,30,1.8,6,0.8,0.1,1.8,25,1.1,6.1,1,0.1,0,0,60,0.2,0.9,4,0.8,0.7,1.5,0,0.35,1,82.407,1,0.891975,74.835926,31.104773,2,-999
17,50,32,1.9,7.1,0.9,0.6,0.2,25,1.3,5.2,0.9,0.2,0.8,0,0,1,0.5,6,0.6,0.6,0.92,0.05,0.05,0.996914,82.27,0.996914,0.932099,77.266204,25.133673,4,-999
18,70,60,2.5,7.6,0.5,0.1,0.2,10,0.6,4.5,2,0.8,0.9,0,80,2,0,2,1.1,0.8,6.5,0,0.05,0.814815,81.55,0.814815,0.962963,77.561574,18.767534,8,-999
19,30,30,1.2,6.8,0.8,0,1.1,10,0.8,3.4,2,1.9,0.9,0,-80,0.2,0,8,0.1,0.2,0.95,0,0,0.783951,81.893,0.783951,0.929012,76.371296,35.871207,0,-999
20,70,66,2.6,7.3,0.4,0.5,0.1,10,0.8,3.4,2,0,2.8,0,80,2,0.1,2,0.4,0.1,6.9,0.2,0.2,0.82716,81.824,0.82716,0.959877,77.402191,19.719902,8,-999
21,30,29,1.4,5.8,1,0.8,1.3,10,0.8,3.4,2,0.7,2.1,0,80,1,0.8,7,0.1,0.1,0.95,0,0,0.552469,81.344,0.552469,0.972222,78.323519,27.684792,0,-999
22,30,29,1.4,5.8,0.8,0.2,1.9,10,0.8,3.4,2,1.9,0.9,0,80,1.8,0.5,7,0.1,0.3,0.95,0,0,0.16358,80.59,0.16358,1,75.598333,14.729519,0,-999
23,30,30,1.2,6.8,0.8,0.7,0.4,10,0.8,3.4,2,1.8,1.0,0,80,2,1,2,1.2,0.1,6.78,0,0,0,80.35,0,1,66.656667,2.523141,0,-999
24,60,57,2.5,6.5,0.5,0.5,0.9,35,1.8,5.2,1,0.8,0.2,0,20,1,0.1,4,0.1,0.8,2.07,0.1,0,1,83.505,1,0.873457,63.160957,26.235968,6,-999
25,70,38,2.5,7.6,0.5,0.1,0.2,15,1.1,3.7,0.9,1.9,0.6,0,-40,1.5,0.4,6,0.7,0.5,0.82,0.55,0.15,1,82.647,1,0.941358,77.078889,34.042865,8,-999
26,30,29,2,4,0.9,0.6,3.3,35,1.6,5.9,0.8,0,0.3,0,-50,1.2,0.6,3,0.5,0.1,1.98,0,0,1,83.265,1,0.83642,68.669537,33.309344,0,-999
27,35,32,1.6,5.9,0.8,0.9,1.1,20,0.9,6,0.8,0,0.2,0,0,2,0.8,6,0.3,1,1.08,0,0,0.947531,81.379,0.947531,0.925926,76.819753,19.371816,1,-999
28,45,41,1.6,7.6,0.8,0.1,0.2,40,1.8,6,1,0,0.2,0,40,1.5,0.2,8,0.1,0.2,0.99,0.05,0.05,1,83.368,1,0.898148,66.889537,24.647573,3,-999
29,65,58,2.3,7.6,0.7,0.3,0,25,1.5,4.5,0.9,0.5,1.2,0,-70,0.6,0.6,2,0.8,0.6,6.8,0.3,0.05,1,84.362,1,0.759259,57.370432,39.307585,7,-999
30,40,36,1.9,5.7,1,0.9,1.3,20,1.5,3.6,1,2.3,0.3,0,50,0.3,0,7,0.1,0.7,0.85,0.05,0,0.987654,81.962,0.987654,0.978395,78.065648,24.247396,2,-999
31,50,45,1.8,7.5,1,0,0.4,10,0.8,3.4,2,0.9,1.9,0,70,0.5,0.4,9,0.1,0.4,0.84,0.05,0.05,0.990741,81.241,0.990741,0.953704,77.519259,32.437913,4,-999
32,50,32,1.9,7.1,0.9,0.6,0.2,25,1.3,5.2,0.9,0.2,0.8,0,0,1,0.5,6,0.6,0.6,0.92,0.05,0.05,1,82.27,1,0.929012,77.190895,25.133673,4,-999
33,55,34,1.9,7.8,0.9,0.1,0,40,1.8,6,0.9,0,0.2,0,-80,1,0.1,4,1,1,1.6,0,0.15,1,83.162,1,0.87037,70.061852,24.765524,5,-999
34,70,59,2.5,7.6,0.5,0.3,0,40,1.8,6,0.9,0.1,0.1,0,80,0.1,0,2,1.2,0.1,6.4,0.05,0.05,1,85.219,1,0.679012,45.707407,37.010504,8,-999
35,40,40,2.6,4.2,0.4,0.9,2.8,20,0.9,6,0.8,0.1,0.1,0,-80,0.5,0.1,5,0.02,0.1,1.03,0,0,1,82.339,1,0.833333,70.7375,41.412801,2,-999
36,30,30,1.2,6.8,0.8,0.7,0.4,10,0.8,3.4,2,1.8,1.0,0,80,2,1,2,1.2,0.1,6.78,0,0,0,80.35,0,1,66.601481,2.523141,0,-999
37,30,30,1.2,6.8,0.8,0.7,0.4,10,0.8,3.4,2,1.8,1.0,0,80,2,1,2,1.2,0.1,6.78,0,0,0,80.35,0,1,66.626975,2.523141,0,-999
38,30,30,1.2,6.8,0.8,0.6,0.5,10,0.8,3.4,2,1.8,1.0,0,80,2,1,2,1.2,0.1,6.78,0,0,0,80.35,0,1,66.632623,2.517279,0,-999
39,65,58,2.3,7.6,0.7,0.1,0.2,10,0.8,3.4,2,1.9,0.9,0,60,1.1,0,9,0.1,0.5,0.85,0.05,0.05,0.990741,80.83,0.990741,0.95679,76.936543,24.185867,7,-999
40,35,32,2.2,4.3,0.8,0.2,3.4,40,1.8,6,0.9,0.2,0,0,80,1.6,0.6,5,0.2,0.9,0.98,0.1,0,0.987654,81.276,0.987654,0.910494,75.123642,16.594956,1,-999
41,65,37,2.3,7.6,0.7,0.2,0.1,15,1.2,3.4,0.9,1.7,1.1,0,-30,1.3,0.4,4,1.1,0.2,1.43,0.8,0.3,1,82.853,1,0.92284,75.359846,37.739604,7,-999
42,30,30,1.9,4.3,0.9,2.8,0.8,25,1.1,6.1,0.9,0.1,0,0,0,0.7,1,5,0.1,0.3,1.06,0,0,0.990741,81.722,0.990741,0.907407,74.62858,27.694365,0,-999
43,50,47,2.2,6.1,0.8,0.2,1.6,30,1.4,5.8,0.8,0,0.4,0,-80,1.1,0.3,4,0.1,0.1,1.93,0.05,0.05,1,84.156,1,0.765432,58.578549,39.057547,4,-999
44,55,44,2.4,6.2,0.6,1.3,0.4,35,1.6,5.9,0.8,0.2,0.1,0,-20,0.9,0.6,7,0.2,0.7,0.83,0.15,0.05,1,83.162,1,0.885802,68.690988,24.898652,5,-999
45,60,54,2.1,7.7,0.9,0.2,0,20,1.5,3.6,1,1,1.6,0,-50,0.5,0.2,9,0.1,0.9,0.86,0.05,0.05,1,81.344,1,0.938272,75.219414,22.460091,6,-999
46,40,33,1.8,6,0.9,1.2,0.7,20,1.5,3.6,0.8,1.7,0.9,0,30,0.1,0,3,0.5,0.7,2.5,0.1,0.4,1,82.51,1,0.882716,73.46787,35.48195,2,-999
47,50,32,1.9,7.1,0.9,0.6,0.2,25,1.3,5.2,0.9,0.2,0.8,0,0,1,0.5,6,0.6,0.6,0.92,0.05,0.05,1,82.27,1,0.932099,77.249753,25.133673,4,-999
48,40,36,1.6,6.8,0.8,0,1.1,10,0.8,3.4,2,1.8,1.0,0,80,2,1,8,0.1,1,0.87,0.1,0,0,80.007,0,1,63.304352,4.326083,2,-999
49,40,39,1.4,7.7,0.9,0.1,0.1,10,0.8,3.4,2,1.7,1.1,0,80,2,0.1,9,0.02,1,0.94,0,0,0.219136,79.973,0.219136,1,77.048858,9.960009,2,-999
50,30,29,2,4,0.8,0.7,3.2,10,0.8,3.4,2,1.9,0.9,0,80,1.9,1,5,0.1,1,0.98,0,0,0,80.144,0,1,62.734352,7.606428,0,-999
51,30,29,2,4,0.8,0.1,3.8,10,0.8,3.4,2,1.5,1.3,0,-10,2,0.2,5,0.1,1,0.98,0,0,0.376543,80.487,0.376543,1,77.648796,15.687853,0,-999
52,30,29,2,4,0.8,3.7,0.2,10,0.8,3.4,2,1.5,1.3,0,-10,2,0.2,5,0.1,0.7,0.98,0,0,0.42284,80.624,0.42284,1,77.270278,19.14712,0,-999
53,30,30,1.2,6.8,0.8,0.2,0.9,10,0.8,3.4,2,1.8,1.0,0,80,2,1,2,1.2,0.1,6.78,0,0,0,80.35,0,1,66.408488,2.484586,0,-999
54,60,52,2.1,7.7,0.9,0,0.2,10,0.8,3.4,2,1.1,1.7,0,-70,0.8,0.1,3,0.5,0.4,3.35,0.3,0.2,1,83.471,1,0.851852,70.479074,41.705054,6,-999
55,35,32,2,4.7,1,0.7,2.5,30,1.5,5.4,0.8,0,0.8,0,50,1.9,0.4,5,0.3,0.1,1.07,0.05,0.05,0.993827,81.31,0.993827,0.916667,75.94966,15.355932,1,-999
56,30,30,1.6,5.1,1,0.1,2.7,40,1.8,6,1,0,0.2,0,-50,1.8,0.9,6,0.2,0.2,1,0,0,1,82.956,1,0.910494,70.66784,28.349982,0,-999
57,45,41,2.5,4.9,0.5,1.4,1.6,20,0.9,6,0.9,0.2,0,0,20,1.1,0.6,6,0.1,0.8,0.88,0.05,0,0.969136,81.859,0.969136,0.925926,77.11716,19.826219,3,-999
58,40,33,1.7,6.4,0.9,0.3,1.2,20,1.5,3.6,0.8,0.2,2.4,0,10,1.3,0.1,4,0.4,0.8,1.73,0.05,0.35,0.993827,82.133,0.993827,0.950617,76.35929,28.306148,2,-999
59,65,41,2.3,7.6,0.7,0,0.3,15,1,4,0.9,0.2,2,0,70,1,0.7,5,0.7,0.5,1.2,0.15,0.25,0.950617,80.727,0.950617,0.935185,77.837284,26.105339,7,-999
60,50,42,1.8,7.5,0.8,0,0.4,35,1.7,5.6,1,0.3,0.3,0,-30,0.4,0.3,7,0.2,0.6,1.05,0.15,0.05,1,83.333,1,0.864198,68.263765,27.271598,4,-999
61,70,70,2.5,7.6,0.5,0,0.3,30,1.4,5.8,0.9,0.3,0.1,0,-10,0.1,0,3,0.02,1,3.78,0,0,1,84.534,1,0.685185,47.266265,34.641598,8,-999
62,50,32,1.9,7.1,0.9,0.6,0.2,25,1.3,5.2,0.9,0.2,0.8,0,0,1,0.5,6,0.6,0.6,0.92,0.05,0.05,0.996914,82.27,0.996914,0.932099,77.212901,25.133673,4,-999
63,30,30,1.2,6.8,0.9,0.4,0.7,10,0.8,3.4,2,2.8,0,0,-40,2,0.9,8,0.1,1,0.95,0,0,0.432099,80.761,0.432099,1,78.679352,17.307664,0,-999
64,30,29,2,4,1,0.2,3.7,10,0.8,3.4,2,1.8,1.0,0,70,2,0.4,5,0.2,1,0.98,0,0,0,79.904,0,1,69.351728,4.435521,0,-999
65,30,30,1.2,6.8,0.8,0,1.1,10,0.7,3.9,2,1.3,1.0,0,-80,1.2,0.4,8,0.1,1,0.95,0,0,0.388889,80.898,0.388889,0.981481,77.692747,18.440281,0,-999
66,40,32,1.8,6,0.9,0.2,1.7,10,0.7,3.9,2,0.6,1.7,0,40,0.9,0.6,7,0.2,0.6,0.8,0.05,0.15,0.654321,81.344,0.654321,1,79.527963,20.375466,2,-999
67,60,59,2.1,7.7,0.9,0,0.2,10,0.8,3.4,2,1.7,1.1,0,40,0.1,0.2,7,0.02,0.2,1.26,0,0,1,83.539,1,0.830247,68.682901,40.511087,6,-999
68,30,30,1.2,6.8,1,0,1.1,10,0.6,4.5,2,0,1.7,0,80,0.1,1,2,1.2,1,6.78,0,0,0.87963,82.167,0.87963,0.92284,77.326235,35.899886,0,-999
69,30,29,2,4,0.9,3,0.9,30,1.4,5.8,0.8,0.3,0.1,0,-60,1.6,0.5,5,0.1,0.2,0.98,0,0,1,82.133,1,0.848765,71.000432,32.918164,0,-999
70,50,40,2.2,6.1,0.8,0.5,1.3,20,1.4,3.9,0.9,0,2.3,0,0,1.9,0.8,7,0.2,0.1,0.82,0.05,0.1,1,82.75,1,0.947531,74.65,23.295259,4,-999
71,35,32,2.2,4.3,0.8,2.3,1.3,25,1.7,4,0.9,0.8,1.4,0,60,0.9,0.3,5,0.2,0.9,0.98,0.05,0.05,0.944444,81.379,0.944444,0.95679,77.224846,19.229486,1,-999
72,70,47,2.5,7.6,0.5,0.2,0.1,40,1.8,6,1,0.2,0,0,30,1.1,0.4,6,0.5,0.6,1.02,0,0,1,82.99,1,0.938272,72.623272,19.856993,8,-999
73,55,46,1.9,7.8,0.9,0,0.1,35,1.6,5.9,0.9,0,0.3,0,-70,0.5,0.2,5,0.3,1,1.65,0.1,0.1,1,82.03,1,0.79321,63.428333,27.35706,5,-999
74,40,39,1.4,7.7,0.8,0.2,0,10,0.8,3.4,2,1.5,1.3,0,50,0.6,1,2,0.1,0.7,7.6,0.05,0.05,0.950617,82.442,0.950617,0.91358,75.279167,35.202002,2,-999
75,50,37,1.8,7.5,1,0.3,0.1,15,1.2,3.4,1,0.9,1.9,0,-20,0.1,0.8,3,1,0.5,2.75,0.1,0.8,1,82.99,1,0.891975,75.198765,38.857547,4,-999
76,65,58,2.3,7.6,0.7,0.1,0.2,20,1,5.4,0.9,0.6,0.2,0,10,1.3,0.1,9,0.1,0.3,0.85,0.1,0,1,81.79,1,0.851852,67.515556,30.530692,7,-999
77,50,32,1.9,7.1,0.9,0.6,0.2,25,1.3,5.2,0.9,0.2,0.8,0,0,1,0.5,6,0.6,0.6,0.92,0.05,0.05,0.996914,82.27,0.996914,0.929012,77.260741,25.133673,4,-999
78,70,59,2.6,7.3,0.4,0.5,0.1,10,0.6,4.5,2,0.9,0.8,0,-80,0.1,0.1,2,1.2,0.1,6.1,0.5,0.7,1,84.088,1,0.842593,69.432438,43.457632,8,-999
79,70,70,2.5,7.6,0.5,0.3,0,10,0.8,3.4,2,0.4,2.4,0,70,0.1,0.2,2,0.02,0.1,7.58,0,0,1,84.499,1,0.790123,64.103735,44.928469,8,-999
80,70,59,2.6,7.3,0.4,0.5,0.1,10,0.8,3.4,2,1.8,1.0,0,-80,0.1,0,2,1.2,0.1,6.1,0,0.55,1,84.019,1,0.842593,69.589722,43.963858,8,-999
81,50,31,2.6,5.2,0.4,2,0.7,15,0.7,5.8,2,0.3,0.1,0,-80,1.2,0.8,5,0.5,0.1,0.8,0.2,0.2,0.959877,81.276,0.959877,0.938272,77.863086,36.236378,4,-999
82,30,29,2,4,0.8,3.9,0,15,0.7,5.8,2,0.3,0.1,0,-80,1.6,1,5,0.1,0.3,0.98,0,0,0.771605,81.07,0.771605,0.953704,76.846728,29.74844,0,-999
83,70,70,2.6,7.3,0.4,0,0.6,40,1.8,6,1,0,0.2,0,-80,0.5,0.1,2,0.02,0.1,7.28,0,0,1,85.528,1,0.651235,40.387963,38.153574,8,-999
84,45,44,1.6,7.6,1,0.3,0,30,1.5,5.4,0.9,0.8,0,0,20,0.6,0.3,7,0.02,0.8,1.25,0,0,1,82.716,1,0.919753,71.568858,25.355651,3,-999
85,30,29,2,4,0.8,3.1,0.8,20,1.2,4.5,1,0.3,1.4,0,-40,1.5,1,4,0.5,0.8,1.31,0,0,0.895062,81.79,0.895062,0.975309,77.516235,24.83881,0,-999
86,70,63,2.5,7.6,0.5,0.3,0,40,1.8,6,1,0,0.2,0,20,0.2,0.1,9,0.1,0.4,0.85,0,0.1,1,82.579,1,0.774691,52.147963,29.652186,8,-999
87,65,58,2.3,7.6,0.7,0,0.3,25,1.1,6.1,1,0.1,0,0,-60,0.9,0,9,0.1,0.2,0.85,0.05,0.05,1,82.545,1,0.780864,58.797407,38.274005,7,-999
88,50,30,1.9,7.1,0.9,0.1,0.7,10,0.8,3.4,2,2.7,0.1,0,0,1.8,0.4,5,0.8,0.3,1.07,0,0,0.790123,80.521,0.790123,1,80.204506,23.427609,4,-999
89,55,55,2.3,6.5,0.7,0.8,0.6,15,1.2,3.4,0.8,0.9,1.9,0,60,1.3,0.7,2,0.1,0.1,6.4,0.05,0.05,0.978395,82.03,0.978395,0.92284,75.705401,21.006803,5,-999
90,50,37,1.8,7.5,1,0.1,0.3,35,1.7,5.6,0.9,0,0.6,0,-70,0.8,0.2,3,1,0.6,2.75,0.75,0.1,1,83.676,1,0.811728,66.298827,32.467767,4,-999
91,35,31,1.8,5.2,0.8,0.2,2.5,25,1.1,6.1,0.8,0,0.1,0,80,0.5,0.6,6,0.2,0.9,0.94,0.05,0.05,0.990741,81.996,0.990741,0.873457,73.677901,25.239108,1,-999
92,50,32,1.9,7.1,0.9,0.6,0.2,25,1.3,5.2,0.9,0.2,0.8,0,0,1,0.5,6,0.6,0.6,0.92,0.05,0.05,1,82.27,1,0.932099,77.250957,25.133673,4,-999
93,30,30,1.2,6.8,0.8,0.4,0.7,10,0.8,3.4,2,0.2,2.6,0,50,0.1,0,8,0.1,1,0.95,0,0,0.41358,80.967,0.41358,0.975309,77.267407,18.560858,0,-999
94,35,32,1.4,6.8,0.9,0.7,0.4,10,0.8,3.4,2,1.4,1.4,0,70,0.1,0.1,8,0.1,0.3,0.87,0,0.05,0.817901,81.962,0.817901,0.941358,77.661173,33.308126,1,-999
95,35,31,1.3,7.3,1,0.3,0.3,10,0.8,3.4,2,0.9,1.9,0,80,0.2,0.2,9,0.1,1,0.81,0.05,0.05,0.530864,80.144,0.530864,1,78.797994,18.960828,1,-999
96,40,36,2.5,4.3,0.5,0.6,3,10,0.8,3.4,2,1.2,1.6,0,-80,1.1,0.6,5,0.1,0.3,0.97,0.05,0.05,0.907407,81.207,0.907407,0.947531,77.18071,35.776656,2,-999
97,60,43,2.3,7,0.7,0,0.9,10,0.6,4.5,2,1.2,0.5,0,-50,1.7,0.6,3,1,0.1,2.5,0.4,0.4,1,82.956,1,0.916667,74.89321,38.611917,6,-999
98,30,30,1.2,6.8,1,0,1.1,40,1.8,6,1,0.2,0,0,-80,0.1,1,2,0.02,1,6.78,0,0,1,83.128,1,0.861111,68.87892,29.430245,0,-999
99,45,40,2.2,5.5,0.8,1.7,0.7,40,1.8,6,1,0.1,0.1,0,-60,1.3,0.4,4,0.2,0.1,1.63,0,0.2,1,84.019,1,0.824074,60.863858,32.892348,3,-999
100,30,30,1.6,5.1,0.8,0.7,2.1,10,0.7,3.9,2,0.6,1.7,0,0,1.9,0,6,0.02,0.4,1,0,0,0.700617,81.276,0.700617,1,78.156451,24.672447,0,-999
101,40,33,2.3,4.7,0.7,1.2,2,35,1.6,5.9,0.9,0,0.3,0,-70,0.5,0.6,5,0.3,1,0.97,0.05,0.05,1,81.584,1,0.873457,72.418148,22.435073,2,-999
102,60,44,2.1,7.7,0.9,0.2,0,20,1.5,3.6,0.8,2,0.6,0,-30,1,0.3,5,0.5,0.6,1.42,0.1,0.4,1,81.481,1,0.898148,71.330648,33.388763,6,-999
103,70,69,2.6,7.3,0.4,0.5,0.1,30,1.4,5.8,1,0.1,0.3,0,10,1.2,0.6,9,0.02,0.8,0.89,0,0,1,81.756,1,0.947531,71.773765,18.15602,8,-999
104,65,60,2.3,7.6,0.7,0.2,0.1,20,0.9,6,1,0.2,0,0,30,0.7,0,3,0.3,0.5,3.5,0,0.15,1,83.916,1,0.796296,62.092963,37.613112,7,-999
105,45,40,1.6,7.6,0.8,0.2,0.1,15,1.2,3.4,0.8,0.2,2.6,0,50,0.1,0.9,2,0.9,0.2,6.7,0.4,0.4,1,83.128,1,0.848765,70.630525,42.715845,3,-999
106,55,54,1.9,7.8,0.8,0.1,0,25,1.5,4.5,0.8,1.3,0.4,0,60,1.6,0.2,9,0.02,0.7,0.95,0,0,1,81.07,1,0.932099,76.275679,16.427138,5,-999
107,50,32,1.9,7.1,0.9,0.6,0.2,25,1.3,5.2,0.9,0.2,0.8,0,0,1,0.5,6,0.6,0.6,0.92,0.05,0.05,1,82.27,1,0.932099,77.203549,25.133673,4,-999
108,70,69,2.5,7.6,0.5,0,0.3,15,0.7,5.8,2,0,0.4,0,-80,0.1,0.4,2,0.1,0.1,7.5,0.05,0.05,1,84.739,1,0.780864,62.355154,42.640993,8,-999
109,30,29,2,4,1,0.8,3.1,25,1.1,6.1,0.8,0,0.1,0,-80,0.1,0,2,0.02,0.1,3.98,0,0,1,83.128,1,0.839506,71.353704,38.491305,0,-999
110,50,49,1.8,7.5,1,0,0.4,40,1.8,6,0.8,0,0.2,0,-70,0.1,0.2,2,0.1,0.1,7.4,0,0.1,1,84.808,1,0.703704,48.379074,36.239078,4,-999
111,30,30,1.2,6.8,1,0,1.1,40,1.8,6,1,0.2,0,0,-80,0.1,1,2,0.02,0.9,6.78,0,0,1,83.162,1,0.864198,68.859259,29.643282,0,-999
112,30,30,1.2,6.8,1,0,1.1,40,1.8,6,1,0,0.2,0,-80,0.1,1,2,0.02,1,6.78,0,0,1,83.128,1,0.861111,69.000031,29.430245,0,-999
113,30,30,1.2,6.8,1,0,1.1,40,1.8,6,1,0.1,0.1,0,-80,0.1,1,2,0.02,1,6.78,0,0,1,83.128,1,0.858025,68.958642,29.321902,0,-999
114,50,49,1.8,7.5,1,0,0.4,15,0.8,5.1,2,0.3,0.8,0,30,0.3,0.6,8,0.02,0.7,1.05,0,0,0.996914,82.236,0.996914,0.972222,77.621667,24.348797,4,-999
115,60,55,2.1,7.7,0.9,0,0.2,35,1.6,5.9,1,0,0.3,0,10,0.1,0.8,3,0.3,0.4,3.55,0.05,0.05,1,84.602,1,0.759259,52.104383,35.366307,6,-999
116,30,30,1.7,4.8,0.9,2.7,0.4,15,1.2,3.4,1,1.6,1.2,0,60,1.4,0.5,2,1.2,0.6,4.78,0,0,0.817901,81.481,0.817901,0.990741,79.141883,20.189658,0,-999
117,50,47,2.5,5.4,0.5,0.7,1.8,20,0.9,6,0.8,0,0.2,0,0,0.7,0.6,4,0.1,0.3,1.7,0.1,0,1,83.265,1,0.83642,69.49213,35.219197,4,-999
118,40,33,2,5.4,0.8,0.6,1.9,25,2,3.4,0.9,0.8,2.0,0,-60,1.1,0.2,6,0.2,0.8,0.88,0.1,0.1,0.987654,82.099,0.987654,0.941358,76.63963,22.96766,2,-999
119,70,63,2.5,7.6,0.5,0.2,0.1,30,1.8,4.5,0.8,1.3,0.4,0,60,1.7,0.2,9,0.1,1,0.85,0.05,0,1,81.139,1,0.932099,76.62608,13.019445,8,-999
120,65,35,2.3,7.6,0.7,0,0.3,10,0.8,3.4,2,1.2,1.6,0,-80,0.8,0.1,6,0.7,0.2,0.82,0.05,0.6,0.944444,82.476,0.944444,0.92284,77.722747,39.753409,7,-999
121,40,39,1.4,7.7,1,0.1,0.1,40,1.8,6,0.8,0,0.2,0,-30,0.8,1,9,0.02,0.1,0.94,0,0,1,82.853,1,0.79321,60.80284,32.456092,2,-999
122,50,32,1.9,7.1,0.9,0.6,0.2,25,1.3,5.2,0.9,0.2,0.8,0,0,1,0.5,6,0.6,0.6,0.92,0.05,0.05,1,82.27,1,0.932099,77.264136,25.133673,4,-999
123,30,29,2,4,0.9,2.3,1.6,10,0.8,3.4,2,1.2,1.6,0,70,1.9,0,5,0.1,0.1,0.98,0,0,0.240741,80.316,0.240741,1,77.067315,15.442641,0,-999
124,35,31,1.8,5.2,0.8,1.8,0.9,10,0.8,3.4,2,0,2.8,0,80,1.9,0.1,6,0.1,0.9,0.94,0.1,0,0.157407,80.418,0.157407,1,75.444259,11.660755,1,-999
125,30,29,2,4,0.9,0.5,3.4,10,0.8,3.4,2,0.9,1.9,0,80,1,0,5,0.02,0.7,0.98,0,0,0.512346,80.556,0.512346,0.996914,78.063611,22.249874,0,-999
